Point ID,arc_length,B_0,B_1,B_2,B_Magnitude,p,pB,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,Ux,Uy,Uz,vtkValidPointMask
0,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,7.090054e+03,2.434909e-04,1.800000e+01,-1.000000e+00,5.000000e-02,1.802783e+01,9.937269e-01,2.479966e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1
1,1.999974e-03,1.684885e-03,9.999996e-01,0.000000e+00,1.000001e+00,7.090054e+03,2.430580e-04,1.800000e+01,-9.980000e-01,5.000000e-02,1.802772e+01,9.937269e-01,2.479966e+01,5.680461e-03,1.993224e-07,0.000000e+00,5.680461e-03,5.680461e-03,1.993224e-07,0.000000e+00,1
2,4.000008e-03,3.369820e-03,9.999993e-01,0.000000e+00,1.000005e+00,7.090054e+03,2.426250e-04,1.800000e+01,-9.960000e-01,5.000000e-02,1.802761e+01,9.937269e-01,2.479966e+01,1.136109e-02,3.986507e-07,0.000000e+00,1.136109e-02,1.136109e-02,3.986507e-07,0.000000e+00,1
3,5.999982e-03,5.054704e-03,9.999990e-01,0.000000e+00,1.000012e+00,7.090054e+03,2.421921e-04,1.800000e+01,-9.940000e-01,5.000000e-02,1.802749e+01,9.937269e-01,2.479966e+01,1.704155e-02,5.979730e-07,0.000000e+00,1.704155e-02,1.704155e-02,5.979730e-07,0.000000e+00,1
4,8.000016e-03,6.739639e-03,9.999987e-01,0.000000e+00,1.000021e+00,7.090054e+03,2.417591e-04,1.800000e+01,-9.920000e-01,5.000000e-02,1.802738e+01,9.937269e-01,2.479966e+01,2.272218e-02,7.973013e-07,0.000000e+00,2.272218e-02,2.272218e-02,7.973013e-07,0.000000e+00,1
5,9.999990e-03,8.424524e-03,9.999983e-01,0.000000e+00,1.000034e+00,7.090054e+03,2.413261e-04,1.800000e+01,-9.900000e-01,5.000000e-02,1.802727e+01,9.937269e-01,2.479966e+01,2.840265e-02,9.966236e-07,0.000000e+00,2.840265e-02,2.840265e-02,9.966236e-07,0.000000e+00,1
6,1.200002e-02,1.010946e-02,9.999980e-01,0.000000e+00,1.000049e+00,7.090054e+03,2.408932e-04,1.800000e+01,-9.880000e-01,5.000000e-02,1.802716e+01,9.937269e-01,2.479966e+01,3.408328e-02,1.195952e-06,0.000000e+00,3.408328e-02,3.408328e-02,1.195952e-06,0.000000e+00,1
7,1.400000e-02,1.179434e-02,9.999977e-01,0.000000e+00,1.000067e+00,7.090053e+03,2.404602e-04,1.800000e+01,-9.860000e-01,5.000000e-02,1.802705e+01,9.937269e-01,2.479966e+01,3.976374e-02,1.395274e-06,0.000000e+00,3.976374e-02,3.976374e-02,1.395274e-06,0.000000e+00,1
8,1.599997e-02,1.347923e-02,9.999973e-01,0.000000e+00,1.000088e+00,7.090053e+03,2.400272e-04,1.800000e+01,-9.840000e-01,5.000000e-02,1.802695e+01,9.937269e-01,2.479966e+01,4.544420e-02,1.594597e-06,0.000000e+00,4.544420e-02,4.544420e-02,1.594597e-06,0.000000e+00,1
9,1.800001e-02,1.516416e-02,9.999970e-01,0.000000e+00,1.000112e+00,7.090053e+03,2.395943e-04,1.800000e+01,-9.820000e-01,5.000000e-02,1.802684e+01,9.937269e-01,2.479966e+01,5.112483e-02,1.793925e-06,0.000000e+00,5.112483e-02,5.112483e-02,1.793925e-06,0.000000e+00,1
10,1.999998e-02,1.684905e-02,9.999967e-01,0.000000e+00,1.000139e+00,7.090053e+03,2.391613e-04,1.800000e+01,-9.800000e-01,5.000000e-02,1.802673e+01,9.937269e-01,2.479966e+01,5.680529e-02,1.993247e-06,0.000000e+00,5.680529e-02,5.680529e-02,1.993247e-06,0.000000e+00,1
11,2.200001e-02,1.853398e-02,9.999963e-01,0.000000e+00,1.000168e+00,7.090053e+03,2.387283e-04,1.800000e+01,-9.780000e-01,5.000000e-02,1.802662e+01,9.937269e-01,2.479966e+01,6.248592e-02,2.192575e-06,0.000000e+00,6.248592e-02,6.248592e-02,2.192575e-06,0.000000e+00,1
12,2.399999e-02,2.021887e-02,9.999960e-01,0.000000e+00,1.000200e+00,7.090053e+03,2.382954e-04,1.800000e+01,-9.760000e-01,5.000000e-02,1.802651e+01,9.937269e-01,2.479966e+01,6.816638e-02,2.391898e-06,0.000000e+00,6.816638e-02,6.816638e-02,2.391898e-06,0.000000e+00,1
13,2.600002e-02,2.190380e-02,9.999956e-01,0.000000e+00,1.000236e+00,7.090053e+03,2.378624e-04,1.800000e+01,-9.740000e-01,5.000000e-02,1.802640e+01,9.937270e-01,2.479966e+01,7.384702e-02,2.591226e-06,0.000000e+00,7.384702e-02,7.384702e-02,2.591226e-06,0.000000e+00,1
14,2.800000e-02,2.358869e-02,9.999954e-01,0.000000e+00,1.000274e+00,7.090053e+03,2.374295e-04,1.800000e+01,-9.720000e-01,5.000000e-02,1.802629e+01,9.937270e-01,2.479966e+01,7.952747e-02,2.790549e-06,0.000000e+00,7.952747e-02,7.952747e-02,2.790549e-06,0.000000e+00,1
15,2.999997e-02,2.527357e-02,9.999950e-01,0.000000e+00,1.000314e+00,7.090053e+03,2.369965e-04,1.800000e+01,-9.700000e-01,5.000000e-02,1.802619e+01,9.937270e-01,2.479966e+01,8.520794e-02,2.989871e-06,0.000000e+00,8.520794e-02,8.520794e-02,2.989871e-06,0.000000e+00,1
16,3.200001e-02,2.695851e-02,9.999946e-01,0.000000e+00,1.000358e+00,7.090053e+03,2.365635e-04,1.800000e+01,-9.680000e-01,5.000000e-02,1.802608e+01,9.937270e-01,2.479966e+01,9.088857e-02,3.189199e-06,0.000000e+00,9.088857e-02,9.088857e-02,3.189199e-06,0.000000e+00,1
17,3.399998e-02,2.864339e-02,9.999943e-01,0.000000e+00,1.000404e+00,7.090053e+03,2.361306e-04,1.800000e+01,-9.660000e-01,5.000000e-02,1.802597e+01,9.937270e-01,2.479966e+01,9.656903e-02,3.388522e-06,0.000000e+00,9.656903e-02,9.656903e-02,3.388522e-06,0.000000e+00,1
18,3.600001e-02,3.032833e-02,9.999940e-01,0.000000e+00,1.000454e+00,7.090053e+03,2.356976e-04,1.800000e+01,-9.640000e-01,5.000000e-02,1.802587e+01,9.937270e-01,2.479966e+01,1.022497e-01,3.587850e-06,0.000000e+00,1.022497e-01,1.022497e-01,3.587850e-06,0.000000e+00,1
19,3.799999e-02,3.201321e-02,9.999937e-01,0.000000e+00,1.000506e+00,7.090053e+03,2.352646e-04,1.800000e+01,-9.620000e-01,5.000000e-02,1.802576e+01,9.937270e-01,2.479966e+01,1.079301e-01,3.787172e-06,0.000000e+00,1.079301e-01,1.079301e-01,3.787172e-06,0.000000e+00,1
