Point ID,arc_length,B_0,B_1,B_2,B_Magnitude,p,pB,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,Ux,Uy,Uz,vtkValidPointMask
0,0,0,1,0,1,100030,-0.0141006,10,-1,0.05,10.05,0.99777,348.469,0,0,0,0,0,0,0,1
1,0.00199997,0.00184433,1,0,1,100030,-0.014098,10,-0.998,0.05,10.0498,0.99777,348.469,0.00615643,6.5605e-08,0,0.00615643,0.00615643,6.5605e-08,0,1
2,0.00400001,0.00368871,1,0,1.00001,100030,-0.0140954,10,-0.996,0.05,10.0496,0.99777,348.469,0.012313,1.31212e-07,0,0.012313,0.012313,1.31212e-07,0,1
3,0.00599998,0.00553304,1,0,1.00002,100030,-0.0140928,10,-0.994,0.05,10.0494,0.99777,348.469,0.0184695,1.96817e-07,0,0.0184695,0.0184695,1.96817e-07,0,1
4,0.00800002,0.00737742,1,0,1.00003,100030,-0.0140902,10,-0.992,0.05,10.0492,0.99777,348.469,0.0246261,2.62424e-07,0,0.0246261,0.0246261,2.62424e-07,0,1
5,0.00999999,0.00922175,1,0,1.00004,100030,-0.0140875,10,-0.99,0.05,10.049,0.99777,348.469,0.0307825,3.28029e-07,0,0.0307825,0.0307825,3.28029e-07,0,1
6,0.012,0.0110661,1,0,1.00006,100030,-0.0140849,10,-0.988,0.05,10.0488,0.99777,348.469,0.0369391,3.93636e-07,0,0.0369391,0.0369391,3.93636e-07,0,1
7,0.014,0.0129105,1,0,1.00008,100030,-0.0140823,10,-0.986,0.05,10.0486,0.99777,348.469,0.0430955,4.59241e-07,0,0.0430955,0.0430955,4.59241e-07,0,1
8,0.016,0.0147548,1,0,1.00011,100030,-0.0140797,10,-0.984,0.05,10.0484,0.99777,348.469,0.049252,5.24846e-07,0,0.049252,0.049252,5.24846e-07,0,1
9,0.018,0.0165992,1,0,1.00014,100030,-0.0140771,10,-0.982,0.05,10.0482,0.99777,348.469,0.0554086,5.90453e-07,0,0.0554086,0.0554086,5.90453e-07,0,1
10,0.02,0.0184435,1,0,1.00017,100030,-0.0140745,10,-0.98,0.05,10.048,0.99777,348.469,0.061565,6.56058e-07,0,0.061565,0.061565,6.56058e-07,0,1
11,0.022,0.0202879,1,0,1.00021,100030,-0.0140719,10,-0.978,0.05,10.0478,0.99777,348.469,0.0677216,7.21665e-07,0,0.0677216,0.0677216,7.21665e-07,0,1
12,0.024,0.0221322,1,0,1.00025,100030,-0.0140693,10,-0.976,0.05,10.0476,0.99777,348.469,0.073878,7.8727e-07,0,0.073878,0.073878,7.8727e-07,0,1
13,0.026,0.0239766,1,0,1.00029,100030,-0.0140666,10,-0.974,0.05,10.0474,0.99777,348.469,0.0800346,8.52877e-07,0,0.0800346,0.0800346,8.52877e-07,0,1
14,0.028,0.0258209,1,0,1.00033,100030,-0.014064,10,-0.972,0.05,10.0473,0.99777,348.469,0.0861911,9.18482e-07,0,0.0861911,0.0861911,9.18482e-07,0,1
15,0.03,0.0276652,1,0,1.00038,100030,-0.0140614,10,-0.97,0.05,10.0471,0.99777,348.469,0.0923475,9.84087e-07,0,0.0923475,0.0923475,9.84087e-07,0,1
16,0.032,0.0295096,1,0,1.00044,100030,-0.0140588,10,-0.968,0.05,10.0469,0.99777,348.469,0.0985041,1.04969e-06,0,0.0985041,0.0985041,1.04969e-06,0,1
17,0.034,0.0313539,1,0,1.00049,100030,-0.0140562,10,-0.966,0.05,10.0467,0.99777,348.469,0.104661,1.1153e-06,0,0.104661,0.104661,1.1153e-06,0,1
18,0.036,0.0331983,1,0,1.00055,100030,-0.0140536,10,-0.964,0.05,10.0465,0.99777,348.469,0.110817,1.18091e-06,0,0.110817,0.110817,1.18091e-06,0,1
19,0.038,0.0350427,1,0,1.00061,100030,-0.014051,10,-0.962,0.05,10.0463,0.99777,348.469,0.116974,1.24651e-06,0,0.116974,0.116974,1.24651e-06,0,1
20,0.04,0.036887,1,0,1.00068,100030,-0.0140484,10,-0.96,0.05,10.0461,0.99777,348.469,0.12313,1.31212e-06,0,0.12313,0.12313,1.31212e-06,0,1
21,0.042,0.0387314,1,0,1.00075,100030,-0.0140457,10,-0.958,0.05,10.0459,0.99777,348.469,0.129287,1.37772e-06,0,0.129287,0.129287,1.37772e-06,0,1
22,0.044,0.0405758,1,0,1.00082,100030,-0.0140431,10,-0.956,0.05,10.0457,0.99777,348.469,0.135443,1.44333e-06,0,0.135443,0.135443,1.44333e-06,0,1
23,0.046,0.0424201,1,0,1.0009,100030,-0.0140405,10,-0.954,0.05,10.0455,0.99777,348.469,0.1416,1.50894e-06,0,0.1416,0.1416,1.50894e-06,0,1
24,0.048,0.0442644,1,0,1.00098,100030,-0.0140379,10,-0.952,0.05,10.0453,0.99777,348.469,0.147756,1.57454e-06,0,0.147756,0.147756,1.57454e-06,0,1
25,0.05,0.0461088,1,0,1.00106,100030,-0.0140353,10,-0.95,0.05,10.0451,0.99777,348.469,0.153913,1.64015e-06,0,0.153913,0.153913,1.64015e-06,0,1
26,0.052,0.0476548,1,0,1.00114,100030,-0.0140278,10,-0.948,0.05,10.045,0.99777,348.469,0.159676,1.88979e-06,0,0.159676,0.159676,1.88979e-06,0,1
27,0.054,0.049201,1,0,1.00121,100030,-0.0140203,10,-0.946,0.05,10.0448,0.99777,348.469,0.16544,2.13943e-06,0,0.16544,0.16544,2.13943e-06,0,1
28,0.056,0.050747,1,0,1.00129,100030,-0.0140128,10,-0.944,0.05,10.0446,0.99777,348.469,0.171203,2.38907e-06,0,0.171203,0.171203,2.38907e-06,0,1
29,0.058,0.0522931,1,0,1.00137,100030,-0.0140053,10,-0.942,0.05,10.0444,0.99777,348.469,0.176967,2.63872e-06,0,0.176967,0.176967,2.63872e-06,0,1
30,0.06,0.0538392,1,0,1.00145,100030,-0.0139978,10,-0.94,0.05,10.0442,0.99777,348.469,0.18273,2.88836e-06,0,0.18273,0.18273,2.88836e-06,0,1
31,0.062,0.0553853,1,0,1.00153,100030,-0.0139903,10,-0.938,0.05,10.044,0.99777,348.469,0.188493,3.138e-06,0,0.188493,0.188493,3.138e-06,0,1
32,0.064,0.0569314,1,0,1.00162,100030,-0.0139828,10,-0.936,0.05,10.0438,0.99777,348.469,0.194257,3.38765e-06,0,0.194257,0.194257,3.38765e-06,0,1
33,0.066,0.0584774,1,0,1.00171,100030,-0.0139753,10,-0.934,0.05,10.0436,0.99777,348.469,0.20002,3.63729e-06,0,0.20002,0.20002,3.63729e-06,0,1
34,0.068,0.0600235,1,0,1.0018,100030,-0.0139677,10,-0.932,0.05,10.0435,0.99777,348.469,0.205784,3.88693e-06,0,0.205784,0.205784,3.88693e-06,0,1
35,0.07,0.0615696,1,0,1.0019,100030,-0.0139602,10,-0.93,0.05,10.0433,0.99777,348.469,0.211547,4.13657e-06,0,0.211547,0.211547,4.13657e-06,0,1
36,0.072,0.0631157,1,0,1.00199,100030,-0.0139527,10,-0.928,0.05,10.0431,0.99777,348.469,0.217311,4.38622e-06,0,0.217311,0.217311,4.38622e-06,0,1
37,0.074,0.0646618,1,0,1.00209,100030,-0.0139452,10,-0.926,0.05,10.0429,0.99777,348.469,0.223074,4.63586e-06,0,0.223074,0.223074,4.63586e-06,0,1
38,0.076,0.0662078,1,0,1.00219,100030,-0.0139377,10,-0.924,0.05,10.0427,0.99777,348.469,0.228838,4.8855e-06,0,0.228838,0.228838,4.8855e-06,0,1
39,0.078,0.0677539,1,0,1.00229,100030,-0.0139302,10,-0.922,0.05,10.0425,0.99777,348.469,0.234601,5.13514e-06,0,0.234601,0.234601,5.13514e-06,0,1
40,0.08,0.0693,1,0,1.0024,100030,-0.0139227,10,-0.92,0.05,10.0424,0.99777,348.469,0.240365,5.38478e-06,0,0.240365,0.240365,5.38478e-06,0,1
41,0.082,0.0708461,1,0,1.00251,100030,-0.0139152,10,-0.918,0.05,10.0422,0.99777,348.469,0.246128,5.63443e-06,0,0.246128,0.246128,5.63443e-06,0,1
42,0.084,0.0723922,1,0,1.00262,100030,-0.0139077,10,-0.916,0.05,10.042,0.99777,348.469,0.251892,5.88407e-06,0,0.251892,0.251892,5.88407e-06,0,1
43,0.086,0.0739383,1,0,1.00273,100030,-0.0139002,10,-0.914,0.05,10.0418,0.99777,348.469,0.257655,6.13372e-06,0,0.257655,0.257655,6.13372e-06,0,1
44,0.088,0.0754843,1,0,1.00285,100030,-0.0138927,10,-0.912,0.05,10.0416,0.99777,348.469,0.263419,6.38336e-06,0,0.263419,0.263419,6.38336e-06,0,1
45,0.09,0.0770304,1,0,1.00296,100030,-0.0138852,10,-0.91,0.05,10.0414,0.99777,348.469,0.269182,6.633e-06,0,0.269182,0.269182,6.633e-06,0,1
46,0.092,0.0785765,1,0,1.00308,100030,-0.0138777,10,-0.908,0.05,10.0413,0.99777,348.469,0.274946,6.88264e-06,0,0.274946,0.274946,6.88264e-06,0,1
47,0.094,0.0801226,1,0,1.00321,100030,-0.0138702,10,-0.906,0.05,10.0411,0.99777,348.469,0.280709,7.13228e-06,0,0.280709,0.280709,7.13228e-06,0,1
48,0.096,0.0816687,1,0,1.00333,100030,-0.0138627,10,-0.904,0.05,10.0409,0.99777,348.469,0.286473,7.38193e-06,0,0.286473,0.286473,7.38193e-06,0,1
49,0.098,0.0832148,1,0,1.00346,100030,-0.0138552,10,-0.902,0.05,10.0407,0.99777,348.469,0.292236,7.63157e-06,0,0.292236,0.292236,7.63157e-06,0,1
50,0.1,0.0847609,1,0,1.00359,100030,-0.0138477,10,-0.9,0.05,10.0405,0.99777,348.469,0.298,7.88122e-06,0,0.298,0.298,7.88122e-06,0,1
51,0.102,0.0860279,1,0,1.0037,100030,-0.0138355,10,-0.898,0.05,10.0404,0.99777,348.469,0.303382,8.11721e-06,0,0.303382,0.303382,8.11721e-06,0,1
52,0.104,0.0872949,1,0,1.0038,100030,-0.0138233,10,-0.896,0.05,10.0402,0.99777,348.469,0.308764,8.3532e-06,0,0.308764,0.308764,8.3532e-06,0,1
53,0.106,0.088562,1,0,1.00392,100030,-0.0138112,10,-0.894,0.05,10.04,0.99777,348.469,0.314146,8.58919e-06,0,0.314146,0.314146,8.58919e-06,0,1
54,0.108,0.089829,1,0,1.00403,100030,-0.013799,10,-0.892,0.05,10.0398,0.99777,348.469,0.319528,8.82518e-06,0,0.319528,0.319528,8.82518e-06,0,1
55,0.11,0.091096,1,0,1.00414,100030,-0.0137868,10,-0.89,0.05,10.0397,0.99777,348.469,0.32491,9.06118e-06,0,0.32491,0.32491,9.06118e-06,0,1
56,0.112,0.0923631,1,0,1.00426,100030,-0.0137746,10,-0.888,0.05,10.0395,0.99777,348.469,0.330292,9.29717e-06,0,0.330292,0.330292,9.29717e-06,0,1
57,0.114,0.0936301,1,0,1.00438,100030,-0.0137625,10,-0.886,0.05,10.0393,0.99777,348.469,0.335675,9.53317e-06,0,0.335675,0.335675,9.53317e-06,0,1
58,0.116,0.0948971,1,0,1.00449,100030,-0.0137503,10,-0.884,0.05,10.0391,0.99777,348.469,0.341057,9.76915e-06,0,0.341057,0.341057,9.76915e-06,0,1
59,0.118,0.0961642,1,0,1.00462,100030,-0.0137381,10,-0.882,0.05,10.0389,0.99777,348.469,0.346439,1.00051e-05,0,0.346439,0.346439,1.00051e-05,0,1
60,0.12,0.0974312,1,0,1.00474,100030,-0.0137259,10,-0.88,0.05,10.0388,0.99777,348.469,0.351821,1.02411e-05,0,0.351821,0.351821,1.02411e-05,0,1
61,0.122,0.0986983,1,0,1.00486,100030,-0.0137138,10,-0.878,0.05,10.0386,0.99777,348.469,0.357203,1.04771e-05,0,0.357203,0.357203,1.04771e-05,0,1
62,0.124,0.0999653,1,0,1.00499,100030,-0.0137016,10,-0.876,0.05,10.0384,0.99777,348.469,0.362585,1.07131e-05,0,0.362585,0.362585,1.07131e-05,0,1
63,0.126,0.101232,1,0,1.00511,100030,-0.0136894,10,-0.874,0.05,10.0382,0.99777,348.469,0.367968,1.09491e-05,0,0.367968,0.367968,1.09491e-05,0,1
