Point ID,Ma,mag(U),p,Points_0,Points_1,Points_2,Points_Magnitude,T
84,0.768902,250.868,89059.2,0.605841,0.0202088,0.166667,0.628673,264.941
85,0.748728,244.901,90644.8,0.611017,0.0188711,0.166667,0.633621,266.277
86,0.727407,238.563,92340.8,0.616176,0.0174696,0.166667,0.638558,267.703
87,0.705043,231.888,94169,0.621318,0.0160046,0.166667,0.643482,269.235
88,0.681664,224.872,96117,0.626441,0.0144763,0.166667,0.648394,270.857
89,0.657382,217.543,98185,0.631544,0.0128848,0.166667,0.653293,272.563
90,0.631776,209.756,100391,0.636628,0.0112306,0.166667,0.658179,274.36
91,0.604421,201.375,102780,0.641691,0.00951371,0.166667,0.66305,276.283
92,0.575115,192.313,105329,0.646732,0.00773451,0.166667,0.667907,278.316
93,0.543726,182.5,108007,0.651751,0.00589326,0.166667,0.67275,280.414
94,0.510617,172.043,110799,0.656747,0.00399023,0.166667,0.677577,282.571
95,0.471295,159.293,112904,0.661719,0.00202571,0.166667,0.682389,284.344
96,0.430395,146.242,116730,0.666667,0,0.166667,0.687184,287.45
97,0.438517,149.319,118095,0.671749,0,0.166667,0.692116,288.641
98,0.478644,162.51,115580,0.677047,0,0.166667,0.697259,286.907
99,0.504942,171.091,113907,0.682571,0,0.166667,0.702624,285.748
100,0.52787,178.478,112198,0.688329,0,0.166667,0.708219,284.522
101,0.545829,184.19,110703,0.694331,0,0.166667,0.714054,283.412
102,0.560158,188.689,109383,0.700589,0,0.166667,0.720141,282.4
103,0.571709,192.265,108215,0.707112,0,0.166667,0.726489,281.475
104,0.581233,195.184,107218,0.713913,0,0.166667,0.73311,280.657
105,0.588995,197.544,106396,0.721003,0,0.166667,0.740015,279.957
106,0.595575,199.535,105709,0.728393,0,0.166667,0.747218,279.352
107,0.601288,201.263,105138,0.736098,0,0.166667,0.754731,278.837
108,0.606399,202.813,104654,0.74413,0,0.166667,0.762567,278.393
109,0.611065,204.232,104240,0.752504,0,0.166667,0.77074,278.01
110,0.615341,205.537,103879,0.761233,0,0.166667,0.779265,277.673
111,0.619275,206.74,103560,0.770333,0,0.166667,0.788156,277.374
