Point ID,Ma,mag(U),p,Points_0,Points_1,Points_2,Points_Magnitude,T
115,5.962112e-01,1.993188e+02,1.028483e+05,8.107665e-01,0.000000e+00,1.666667e-02,8.109378e-01,2.781514e+02
116,5.988770e-01,2.001486e+02,1.026279e+05,8.219708e-01,0.000000e+00,1.666667e-02,8.221398e-01,2.779810e+02
117,6.012577e-01,2.008893e+02,1.024351e+05,8.336512e-01,0.000000e+00,1.666667e-02,8.338178e-01,2.778288e+02
118,6.033984e-01,2.015551e+02,1.022666e+05,8.458278e-01,0.000000e+00,1.666667e-02,8.459920e-01,2.776924e+02
119,6.053122e-01,2.021507e+02,1.021174e+05,8.585217e-01,0.000000e+00,1.666667e-02,8.586835e-01,2.775725e+02
120,6.069962e-01,2.026761e+02,1.019847e+05,8.717549e-01,0.000000e+00,1.666667e-02,8.719143e-01,2.774713e+02
121,6.084807e-01,2.031396e+02,1.018673e+05,8.855504e-01,0.000000e+00,1.666667e-02,8.857072e-01,2.773834e+02
122,6.097838e-01,2.035450e+02,1.017637e+05,8.999319e-01,0.000000e+00,1.666667e-02,9.000862e-01,2.773024e+02
123,6.109487e-01,2.039052e+02,1.016700e+05,9.149244e-01,0.000000e+00,1.666667e-02,9.150762e-01,2.772247e+02
124,6.119883e-01,2.042268e+02,1.015854e+05,9.305539e-01,0.000000e+00,1.666667e-02,9.307031e-01,2.771559e+02
125,6.129296e-01,2.045192e+02,1.015117e+05,9.468474e-01,0.000000e+00,1.666667e-02,9.469941e-01,2.770969e+02
126,6.137131e-01,2.047639e+02,1.014483e+05,9.638330e-01,0.000000e+00,1.666667e-02,9.639771e-01,2.770515e+02
127,6.146162e-01,2.050456e+02,1.013929e+05,9.815404e-01,0.000000e+00,1.666667e-02,9.816819e-01,2.769987e+02
128,6.152312e-01,2.052365e+02,1.013668e+05,1.000000e+00,0.000000e+00,1.666667e-02,1.000139e+00,2.769601e+02
