Point ID,arc_length,B_0,B_1,B_2,B_Magnitude,p,pB,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,Ux,Uy,Uz,vtkValidPointMask
0,0,0,0,0,0,100028,0,10,-1,0.05,10.05,0.997757,348.466,0,0,0,0,0,0,0,1
1,0.00199997,0,0,0,0,100028,0,10,-0.998,0.05,10.0498,0.997757,348.466,0.00582573,2.00106e-07,0,0.00582573,0.00582573,2.00106e-07,0,1
2,0.00400001,0,0,0,0,100028,0,10,-0.996,0.05,10.0496,0.997757,348.466,0.0116516,4.00218e-07,0,0.0116516,0.0116516,4.00218e-07,0,1
3,0.00599998,0,0,0,0,100028,0,10,-0.994,0.05,10.0494,0.997757,348.466,0.0174774,6.00324e-07,0,0.0174774,0.0174774,6.00324e-07,0,1
4,0.00800002,0,0,0,0,100028,0,10,-0.992,0.05,10.0492,0.997757,348.466,0.0233033,8.00436e-07,0,0.0233033,0.0233033,8.00436e-07,0,1
5,0.00999999,0,0,0,0,100028,0,10,-0.99,0.05,10.049,0.997757,348.466,0.029129,1.00054e-06,0,0.029129,0.029129,1.00054e-06,0,1
6,0.012,0,0,0,0,100028,0,10,-0.988,0.05,10.0488,0.997757,348.466,0.0349549,1.20065e-06,0,0.0349549,0.0349549,1.20065e-06,0,1
7,0.014,0,0,0,0,100028,0,10,-0.986,0.05,10.0486,0.997757,348.466,0.0407807,1.40076e-06,0,0.0407807,0.0407807,1.40076e-06,0,1
8,0.016,0,0,0,0,100028,0,10,-0.984,0.05,10.0484,0.997757,348.466,0.0466064,1.60087e-06,0,0.0466064,0.0466064,1.60087e-06,0,1
9,0.018,0,0,0,0,100028,0,10,-0.982,0.05,10.0482,0.997757,348.466,0.0524323,1.80098e-06,0,0.0524323,0.0524323,1.80098e-06,0,1
10,0.02,0,0,0,0,100028,0,10,-0.98,0.05,10.048,0.997757,348.466,0.058258,2.00108e-06,0,0.058258,0.058258,2.00108e-06,0,1
11,0.022,0,0,0,0,100028,0,10,-0.978,0.05,10.0478,0.997757,348.466,0.0640839,2.2012e-06,0,0.0640839,0.0640839,2.2012e-06,0,1
12,0.024,0,0,0,0,100028,0,10,-0.976,0.05,10.0476,0.997757,348.466,0.0699097,2.4013e-06,0,0.0699097,0.0699097,2.4013e-06,0,1
13,0.026,0,0,0,0,100028,0,10,-0.974,0.05,10.0474,0.997757,348.466,0.0757356,2.60141e-06,0,0.0757356,0.0757356,2.60141e-06,0,1
14,0.028,0,0,0,0,100028,0,10,-0.972,0.05,10.0473,0.997757,348.466,0.0815613,2.80152e-06,0,0.0815613,0.0815613,2.80152e-06,0,1
15,0.03,0,0,0,0,100028,0,10,-0.97,0.05,10.0471,0.997757,348.466,0.0873871,3.00163e-06,0,0.0873871,0.0873871,3.00163e-06,0,1
16,0.032,0,0,0,0,100028,0,10,-0.968,0.05,10.0469,0.997757,348.466,0.093213,3.20174e-06,0,0.093213,0.093213,3.20174e-06,0,1
17,0.034,0,0,0,0,100028,0,10,-0.966,0.05,10.0467,0.997757,348.466,0.0990387,3.40185e-06,0,0.0990387,0.0990387,3.40185e-06,0,1
18,0.036,0,0,0,0,100028,0,10,-0.964,0.05,10.0465,0.997757,348.466,0.104865,3.60196e-06,0,0.104865,0.104865,3.60196e-06,0,1
19,0.038,0,0,0,0,100028,0,10,-0.962,0.05,10.0463,0.997757,348.466,0.11069,3.80206e-06,0,0.11069,0.11069,3.80206e-06,0,1
