Point ID,Ma,mag(U),p,Points_0,Points_1,Points_2,Points_Magnitude,T
0,0.659881,219.078,102656,0.0184596,0,0.166667,0.167686,274.316
1,0.660017,219.117,102638,0,0,0.166667,0.166667,274.302
2,0.659622,219.002,102689,0.0361669,0,0.166667,0.170546,274.342
3,0.659293,218.905,102726,0.0531526,0,0.166667,0.174937,274.372
4,0.658831,218.767,102776,0.0694461,0,0.166667,0.180556,274.411
5,0.658245,218.592,102837,0.0850756,0,0.166667,0.187125,274.46
6,0.65751,218.371,102911,0.100068,0,0.166667,0.1944,274.519
7,0.656614,218.102,103000,0.11445,0,0.166667,0.202179,274.589
8,0.655538,217.778,103104,0.128245,0,0.166667,0.210296,274.673
9,0.654264,217.393,103227,0.141478,0,0.166667,0.218618,274.771
10,0.652772,216.942,103369,0.154172,0,0.166667,0.227039,274.884
11,0.651038,216.417,103533,0.166349,0,0.166667,0.235478,275.015
12,0.64904,215.811,103719,0.178029,0,0.166667,0.243869,275.164
13,0.646748,215.116,103932,0.189234,0,0.166667,0.252165,275.333
14,0.644135,214.321,104173,0.199981,0,0.166667,0.260327,275.525
15,0.641164,213.417,104446,0.210291,0,0.166667,0.268328,275.742
16,0.637803,212.391,104752,0.220181,0,0.166667,0.276147,275.985
17,0.634005,211.231,105096,0.229667,0,0.166667,0.283769,276.258
18,0.629729,209.922,105482,0.238767,0,0.166667,0.291183,276.564
19,0.624912,208.445,105914,0.247496,0,0.166667,0.298383,276.906
20,0.6195,206.782,106397,0.25587,0,0.166667,0.305364,277.287
21,0.613399,204.904,106939,0.263902,0,0.166667,0.312125,277.715
22,0.606533,202.783,107544,0.271606,0,0.166667,0.318666,278.191
23,0.598757,200.376,108227,0.278997,0,0.166667,0.324988,278.727
24,0.589952,197.642,108994,0.286087,0,0.166667,0.331094,279.327
25,0.579868,194.5,109870,0.292888,0,0.166667,0.336988,280.009
26,0.568307,190.885,110862,0.299411,0,0.166667,0.342673,280.78
27,0.554735,186.622,112020,0.305669,0,0.166667,0.348154,281.677
28,0.538785,181.589,113362,0.311671,0,0.166667,0.353436,282.712
29,0.519014,175.298,114957,0.317429,0,0.166667,0.358524,283.924
30,0.496016,167.946,116831,0.322953,0,0.166667,0.363423,285.337
31,0.464534,157.645,118386,0.328251,0,0.166667,0.368139,286.646
32,0.435421,148.444,121742,0.333333,0,0.166667,0.372678,289.31
33,0.461307,157.3,121767,0.338281,0.00202571,0.166667,0.377115,289.523
34,0.519224,176.152,117366,0.343253,0.00399023,0.166667,0.381597,286.503
35,0.562785,190.13,113975,0.348249,0.00589326,0.166667,0.386121,284.102
36,0.601429,202.3,110635,0.353268,0.00773451,0.166667,0.390686,281.622
37,0.634686,212.588,107577,0.358309,0.00951371,0.166667,0.395289,279.248
38,0.664098,221.536,104756,0.363372,0.0112306,0.166667,0.399929,276.979
39,0.690634,229.483,102108,0.368456,0.0128848,0.166667,0.404603,274.804
40,0.714884,236.648,99622.7,0.37356,0.0144763,0.166667,0.409309,272.739
41,0.737343,243.205,97286.8,0.378682,0.0160046,0.166667,0.414046,270.778
42,0.758362,249.271,95073.4,0.383824,0.0174696,0.166667,0.418812,268.903
43,0.778416,255.002,92958.5,0.388983,0.0188711,0.166667,0.423606,267.095
44,0.797824,260.493,90911.1,0.394159,0.0202088,0.166667,0.428425,265.327
45,0.81646,265.723,88965.6,0.399351,0.0214826,0.166667,0.433267,263.627
46,0.833831,270.535,87119.5,0.404559,0.0226922,0.166667,0.438133,261.993
47,0.850213,275.017,85356.2,0.409781,0.0238375,0.166667,0.443019,260.412
48,0.866305,279.405,83692.1,0.415016,0.0249183,0.166667,0.447926,258.896
49,0.882632,283.852,82083.3,0.420265,0.0259344,0.166667,0.45285,257.407
50,0.89897,288.259,80478.7,0.425526,0.0268857,0.166667,0.457791,255.901
51,0.915661,292.754,78909.6,0.430798,0.027772,0.166667,0.462748,254.409
52,0.932873,297.417,77424.7,0.436081,0.0285931,0.166667,0.46772,252.977
53,0.949763,301.917,75914.2,0.441373,0.0293491,0.166667,0.472704,251.502
